date,category,value,unit
2020-01,adult_beef_cow,801300,円/頭
2020-01,adult_dairy_cow,707600,円/頭
2020-01,beef_crossbred_fattened,11080,円/10kg
2020-01,beef_culled_dairy,3517,円/10kg
2020-01,beef_female_wagyu,15530,円/10kg
2020-01,beef_holstein_fattened_male,6819,円/10kg
2020-01,beef_steer_wagyu_young,16840,円/10kg
2020-01,calf_cross,206800,円/頭
2020-01,calf_fattening_crossbred,509700,円/頭
2020-01,calf_fattening_holstein_male,222000,円/頭
2020-01,calf_holstein_female,385700,円/頭
2020-01,calf_holstein_male,98900,円/頭
2020-01,milk,1047,円/10kg
2020-01,wagyu_calf_female,655900,円/頭
2020-01,wagyu_calf_male,764100,円/頭
2020-02,adult_beef_cow,776300,円/頭
2020-02,adult_dairy_cow,716800,円/頭
2020-02,beef_crossbred_fattened,10830,円/10kg
2020-02,beef_culled_dairy,3480,円/10kg
2020-02,beef_female_wagyu,15140,円/10kg
2020-02,beef_holstein_fattened_male,6816,円/10kg
2020-02,beef_steer_wagyu_young,15930,円/10kg
2020-02,calf_cross,208900,円/頭
2020-02,calf_fattening_crossbred,524300,円/頭
2020-02,calf_fattening_holstein_male,221800,円/頭
2020-02,calf_holstein_female,378200,円/頭
2020-02,calf_holstein_male,116000,円/頭
2020-02,milk,1045,円/10kg
2020-02,wagyu_calf_female,640900,円/頭
2020-02,wagyu_calf_male,744900,円/頭
2020-03,adult_beef_cow,641900,円/頭
2020-03,adult_dairy_cow,728800,円/頭
2020-03,beef_crossbred_fattened,9789,円/10kg
2020-03,beef_culled_dairy,3275,円/10kg
2020-03,beef_female_wagyu,13970,円/10kg
2020-03,beef_holstein_fattened_male,6760,円/10kg
2020-03,beef_steer_wagyu_young,14020,円/10kg
2020-03,calf_cross,207400,円/頭
2020-03,calf_fattening_crossbred,446000,円/頭
2020-03,calf_fattening_holstein_male,219400,円/頭
2020-03,calf_holstein_female,383500,円/頭
2020-03,calf_holstein_male,127700,円/頭
2020-03,milk,1026,円/10kg
2020-03,wagyu_calf_female,585700,円/頭
2020-03,wagyu_calf_male,679300,円/頭
2020-04,adult_beef_cow,643600,円/頭
2020-04,adult_dairy_cow,671100,円/頭
2020-04,beef_crossbred_fattened,9082,円/10kg
2020-04,beef_culled_dairy,3384,円/10kg
2020-04,beef_female_wagyu,12580,円/10kg
2020-04,beef_holstein_fattened_male,6745,円/10kg
2020-04,beef_steer_wagyu_young,12430,円/10kg
2020-04,calf_cross,195100,円/頭
2020-04,calf_fattening_crossbred,418700,円/頭
2020-04,calf_fattening_holstein_male,216100,円/頭
2020-04,calf_holstein_female,432400,円/頭
2020-04,calf_holstein_male,116400,円/頭
2020-04,milk,1024,円/10kg
2020-04,wagyu_calf_female,549200,円/頭
2020-04,wagyu_calf_male,635800,円/頭
2020-05,adult_beef_cow,683800,円/頭
2020-05,adult_dairy_cow,636400,円/頭
2020-05,beef_crossbred_fattened,8764,円/10kg
2020-05,beef_culled_dairy,3462,円/10kg
2020-05,beef_female_wagyu,12970,円/10kg
2020-05,beef_holstein_fattened_male,6657,円/10kg
2020-05,beef_steer_wagyu_young,13210,円/10kg
2020-05,calf_cross,194700,円/頭
2020-05,calf_fattening_crossbred,408500,円/頭
2020-05,calf_fattening_holstein_male,209100,円/頭
2020-05,calf_holstein_female,401500,円/頭
2020-05,calf_holstein_male,125200,円/頭
2020-05,milk,1027,円/10kg
2020-05,wagyu_calf_female,550100,円/頭
2020-05,wagyu_calf_male,625700,円/頭
2020-06,adult_beef_cow,722700,円/頭
2020-06,adult_dairy_cow,630400,円/頭
2020-06,beef_crossbred_fattened,8534,円/10kg
2020-06,beef_culled_dairy,3353,円/10kg
2020-06,beef_female_wagyu,13240,円/10kg
2020-06,beef_holstein_fattened_male,6663,円/10kg
2020-06,beef_steer_wagyu_young,13480,円/10kg
2020-06,calf_cross,212300,円/頭
2020-06,calf_fattening_crossbred,394200,円/頭
2020-06,calf_fattening_holstein_male,209200,円/頭
2020-06,calf_holstein_female,403300,円/頭
2020-06,calf_holstein_male,131400,円/頭
2020-06,milk,1044,円/10kg
2020-06,wagyu_calf_female,573600,円/頭
2020-06,wagyu_calf_male,646900,円/頭
2020-07,adult_beef_cow,708400,円/頭
2020-07,adult_dairy_cow,608100,円/頭
2020-07,beef_crossbred_fattened,8621,円/10kg
2020-07,beef_culled_dairy,3358,円/10kg
2020-07,beef_female_wagyu,13360,円/10kg
2020-07,beef_holstein_fattened_male,6579,円/10kg
